最大深度,最小叶节点比例,最大叶节点数,全样本叶节点数,五折联合处方一致率,五折分量一致率,五折耐受约束通过,是否选用
2,0.05,6,4,0.6231168831168831,0.7738636363636363,True,False
2,0.05,9,4,0.6231168831168831,0.7738636363636363,True,False
2,0.05,12,4,0.6231168831168831,0.7738636363636363,True,False
2,0.08,6,4,0.6231168831168831,0.7738636363636363,True,False
2,0.08,9,4,0.6231168831168831,0.7738636363636363,True,False
2,0.08,12,4,0.6231168831168831,0.7738636363636363,True,False
2,0.1,6,3,0.6338311688311689,0.7792207792207793,True,False
2,0.1,9,3,0.6338311688311689,0.7792207792207793,True,False
2,0.1,12,3,0.6338311688311689,0.7792207792207793,True,False
3,0.05,6,6,0.5578571428571429,0.7592857142857143,True,False
3,0.05,9,7,0.5578571428571429,0.7592857142857143,True,False
3,0.05,12,7,0.5578571428571429,0.7592857142857143,True,False
3,0.08,6,5,0.5614935064935065,0.7611038961038962,True,False
3,0.08,9,5,0.5614935064935065,0.7611038961038962,True,False
3,0.08,12,5,0.5614935064935065,0.7611038961038962,True,False
3,0.1,6,4,0.5722077922077922,0.7664610389610389,True,False
3,0.1,9,4,0.5722077922077922,0.7664610389610389,True,False
3,0.1,12,4,0.5722077922077922,0.7664610389610389,True,False
4,0.05,6,6,0.6766883116883117,0.832987012987013,True,False
4,0.05,9,9,0.6801948051948052,0.8347402597402598,True,False
4,0.05,12,9,0.6801948051948052,0.8347402597402598,True,False
4,0.08,6,6,0.640974025974026,0.8151298701298701,True,False
4,0.08,9,7,0.640974025974026,0.8151298701298701,True,False
4,0.08,12,7,0.640974025974026,0.8151298701298701,True,False
4,0.1,6,6,0.630064935064935,0.8043181818181818,True,False
4,0.1,9,6,0.630064935064935,0.8043181818181818,True,False
4,0.1,12,6,0.630064935064935,0.8043181818181818,True,False
5,0.05,6,6,0.6766883116883117,0.832987012987013,True,False
5,0.05,9,9,0.7129220779220778,0.8511038961038961,True,False
5,0.05,12,11,0.7164935064935064,0.8546753246753246,True,False
5,0.08,6,6,0.6695454545454546,0.8258441558441557,True,False
5,0.08,9,9,0.6984415584415584,0.8402922077922078,True,False
5,0.08,12,10,0.6984415584415584,0.8402922077922078,True,False
5,0.1,6,6,0.630064935064935,0.8043181818181818,True,False
5,0.1,9,8,0.630064935064935,0.8043181818181818,True,False
5,0.1,12,8,0.630064935064935,0.8043181818181818,True,False
6,0.05,6,6,0.6766883116883117,0.832987012987013,True,False
6,0.05,9,9,0.7668181818181818,0.878051948051948,True,False
6,0.05,12,12,0.7846103896103896,0.8887337662337662,True,True
6,0.08,6,6,0.6695454545454546,0.8258441558441557,True,False
6,0.08,9,9,0.6984415584415584,0.8402922077922078,True,False
6,0.08,12,10,0.7129870129870131,0.847564935064935,True,False
6,0.1,6,6,0.630064935064935,0.8043181818181818,True,False
6,0.1,9,8,0.630064935064935,0.8043181818181818,True,False
6,0.1,12,8,0.630064935064935,0.8043181818181818,True,False
